LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
17m         Normal    Scheduled               pod/webnote-2                             Successfully assigned dso202-practical-02/webnote-2 to worker-node-2
17m         Normal    Pulled                  pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
17m         Normal    Created                 pod/webnote-2                             Container created
17m         Normal    Started                 pod/webnote-2                             Container started
17m         Normal    Created                 pod/webnote-2                             Container created
17m         Normal    Pulled                  pod/webnote-2                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
17m         Normal    Started                 pod/webnote-2                             Container started
14m         Normal    Killing                 pod/webnote-2                             Stopping container nginx
14m         Normal    SuccessfulDelete        statefulset/webnote                       Delete Pod webnote-2 in StatefulSet webnote successful
14m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-2 in StatefulSet webnote successful
14m         Normal    Scheduled               pod/webnote-2                             Successfully assigned dso202-practical-02/webnote-2 to worker-node-2
14m         Normal    Started                 pod/webnote-2                             Container started
14m         Normal    Created                 pod/webnote-2                             Container created
14m         Normal    Pulled                  pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
14m         Normal    Pulling                 pod/webnote-2                             Pulling image "nginx:1.31-alpine"
14m         Normal    Created                 pod/webnote-2                             Container created
14m         Normal    Pulled                  pod/webnote-2                             Successfully pulled image "nginx:1.31-alpine" in 26.671s (26.671s including waiting). Image size: 28791510 bytes.
14m         Normal    Started                 pod/webnote-2                             Container started
13m         Normal    Killing                 pod/webnote-2                             Stopping container nginx
13m         Normal    Killing                 pod/webnote-1                             Stopping container nginx
13m         Normal    Killing                 pod/webnote-0                             Stopping container nginx
13m         Warning   Unhealthy               pod/webnote-0                             Readiness probe failed: Get "http://10.244.2.14:80/": dial tcp 10.244.2.14:80: connect: connection refused
12m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-0 in StatefulSet webnote successful
12m         Normal    Scheduled               pod/webnote-0                             Successfully assigned dso202-practical-02/webnote-0 to worker-node-2
12m         Normal    Created                 pod/webnote-0                             Container created
12m         Normal    Pulled                  pod/webnote-0                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
12m         Normal    Started                 pod/webnote-0                             Container started
12m         Normal    Created                 pod/webnote-0                             Container created
12m         Normal    Pulled                  pod/webnote-0                             Container image "nginx:1.31-alpine" already present on machine and can be accessed by the pod
12m         Normal    Started                 pod/webnote-0                             Container started
12m         Normal    Started                 pod/webnote-1                             Container started
12m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-1 in StatefulSet webnote successful
12m         Normal    Created                 pod/webnote-1                             Container created
12m         Normal    Pulled                  pod/webnote-1                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
12m         Normal    Scheduled               pod/webnote-1                             Successfully assigned dso202-practical-02/webnote-1 to worker-node-1
12m         Normal    Pulling                 pod/webnote-1                             Pulling image "nginx:1.31-alpine"
12m         Normal    Created                 pod/webnote-1                             Container created
12m         Normal    Started                 pod/webnote-1                             Container started
12m         Normal    Pulled                  pod/webnote-1                             Successfully pulled image "nginx:1.31-alpine" in 23.077s (23.077s including waiting). Image size: 28791510 bytes.
12m         Normal    Created                 pod/webnote-2                             Container created
12m         Normal    Pulled                  pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
12m         Normal    Scheduled               pod/webnote-2                             Successfully assigned dso202-practical-02/webnote-2 to worker-node-2
12m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-2 in StatefulSet webnote successful
12m         Normal    Started                 pod/webnote-2                             Container started
12m         Normal    Created                 pod/webnote-2                             Container created
12m         Normal    Pulled                  pod/webnote-2                             Container image "nginx:1.31-alpine" already present on machine and can be accessed by the pod
12m         Normal    Started                 pod/webnote-2                             Container started
8m10s       Normal    Provisioning            persistentvolumeclaim/data-postgres-0     External provisioner is provisioning volume for claim "dso202-practical-02/data-postgres-0"
8m10s       Normal    ExternalProvisioning    persistentvolumeclaim/data-postgres-0     Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
8m10s       Normal    WaitForFirstConsumer    persistentvolumeclaim/data-postgres-0     waiting for first consumer to be created before binding
8m10s       Normal    SuccessfulCreate        statefulset/postgres                      Create Claim data-postgres-0 Pod postgres-0 in StatefulSet postgres success
8m7s        Normal    ProvisioningSucceeded   persistentvolumeclaim/data-postgres-0     Successfully provisioned volume pvc-77217e06-c53e-40a9-a8cb-ec1c0e1d52e3
8m6s        Normal    Scheduled               pod/postgres-0                            Successfully assigned dso202-practical-02/postgres-0 to worker-node-1
